Ensino Fundamental Regular - Anos Finais;;;;;;;;;;;;;;;;;;;;;;;
Indicadores educacionais compostos por: Taxa de Aprovação, SAEB e IDEB nos anos de 2005, 2007, 2009, 2011, 2013, 2015, 2017, 2019, 20211 e 2023 e Metas do 1º ciclo do Ideb2,3 (2007-2021). Os dados estão dimensionados por escola e organizados por rede de ensino.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Sigla da UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Rede;"IDEB
2005
(N x P)";"IDEB
2007
(N x P)";"IDEB
2009
(N x P)";"IDEB
2011
(N x P)";"IDEB
2013
(N x P)";"IDEB
2015
(N x P)";"IDEB
2017
(N x P)";"IDEB
2019
(N x P)";"IDEB
20211
(N x P)";"IDEB
2023
(N x P)";Metas do 1º ciclo do Ideb2,3 (2007-2021);;;;;;;
GO;5208707;Goiânia;52097064;ESCOLA MUNICIPAL PROFESSORA DALKA LELES;Municipal;-;-;-;-;4,7;4,2;-;4,8;4,4;5,6;-;-;-;-;4,9;5,2;5,4;5,7
GO;5208707;Goiânia;52099440;CENTRO DE ENSINO EM PERIODO INTEGRAL FRANCISCO MARIA DANTAS;Estadual;-;-;-;-;-;5,6;6;6,1;5,9;6,3;-;-;-;-;-;5,8;6;6,2
GO;5208707;Goiânia;52100375;ESCOLA MUNICIPAL DOM TOMAS BALDUINO;Municipal;-;-;-;-;-;4,3;-;-;-;5,4;-;-;-;-;-;4,6;4,8;5,1
GO;5208707;Goiânia;52101118;COLEGIO ESTADUAL ROBERTO CIVITA;Estadual;-;-;-;-;-;-;5,4;4,7;5,2;5,2;-;-;-;-;-;-;5,6;5,8
GO;5208707;Goiânia;52107035;COLEGIO ESTADUAL JARDIM DO CERRADO;Estadual;-;-;-;-;-;-;-;-;-;5,4;-;-;-;-;-;-;-;-
GO;5208707;Goiânia;52107671;COLEGIO ESTADUAL AGENOR CARDOSO DE OLIVEIRA;Estadual;-;-;-;-;-;-;-;-;-;5,5;-;-;-;-;-;-;-;-
GO;5208707;Goiânia;52188400;CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSOR GENESCO FERREIRA BRETAS;Estadual;-;-;4,3;4,7;5,7;5,9;6,2;6,3;5,9;5,5;-;-;4,4;4,7;5;5,3;5,5;5,8
GO;5208707;Goiânia;52264408;ESCOLA MUNICIPAL GRANDE RETIRO;Municipal;-;-;-;3,7;4,4;5;4,6;-;-;-;-;-;-;3,9;4,2;4,5;4,8;5
GO;5208707;Goiânia;52264416;ESCOLA MUNICIPAL BUENA VISTA;Municipal;-;-;-;3,6;4,3;4,7;-;-;-;-;-;-;-;3,8;4,1;4,4;4,6;4,9
GO;5208707;Goiânia;52264440;ESCOLA MUNICIPAL JOAQUIM CAMARA FILHO;Municipal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GO;5208707;Goiânia;52268365;ESC MUL JOAO ALVES DE QUEIROZ;Municipal;-;-;-;4,1;4,4;5;-;-;-;5,6;-;-;-;4,3;4,6;4,9;5,1;5,4
GO;5208806;Goianira;52038270;COLEGIO ESTADUAL JOSE RODRIGUES NAVES;Estadual;2,3;3,2;4,3;-;-;-;-;-;-;-;2,4;2,6;3;3,5;3,9;4,2;4,5;4,7
GO;5208806;Goianira;52038289;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS UNIDADE PADRE PELAGIO;Estadual;3,1;3,7;3,6;3,8;4,1;4,1;4,4;4,6;5,5;5,5;3,1;3,2;3,5;3,9;4,3;4,5;4,8;5,1
GO;5208806;Goianira;52038300;ESCOLA MUNICIPAL LAZARA MARIA DA COSTA;Municipal;-;3,4;3,4;-;-;-;3,9;5,1;-;-;-;3,5;3,7;4;4,4;4,6;4,9;5,1
GO;5208806;Goianira;52038327;ESCOLA ESTADUAL PROFESSORA JUDITH FLORESTINA DIAS;Estadual;-;-;-;4,3;4,4;4,6;5,2;4,9;4,9;5;-;-;-;4,5;4,8;5;5,3;5,5
GO;5208806;Goianira;52038343;COLEGIO ESTADUAL SAO GERALDO;Estadual;3,3;2,7;3,6;3,9;4,4;5;5,6;5,5;5,2;5,5;3,3;3,5;3,8;4,2;4,5;4,8;5,1;5,3
GO;5208806;Goianira;52038424;ESCOLA MUNICIPAL CORA CORALINA;Municipal;3,1;2,7;4,1;3,3;3,5;3,8;4,8;4,6;-;-;3,2;3,3;3,6;4;4,4;4,6;4,9;5,2
GO;5208806;Goianira;52071537;ESCOLA MUNICIPAL ODILON SANTOS;Municipal;1,9;-;-;-;-;-;-;-;-;-;1,9;2,2;2,5;3;3,4;3,6;3,9;4,2
GO;5208806;Goianira;52078221;ESCOLA MUNICIPAL MELCHIOR BRAGA COSTA;Municipal;-;3,1;-;-;-;-;-;-;-;-;-;3,2;3,4;3,7;4,1;4,3;4,6;4,8
GO;5208806;Goianira;52096939;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS GOIANIRA JOSE SILVA OLIVEIRA;Estadual;-;-;-;-;4,3;4,4;5,2;4,9;5,2;6;-;-;-;-;4,5;4,8;5;5,3
GO;5208806;Goianira;52106195;CENTRO DE ENSINO EM PERIODO INTEGRAL PROF LAZARA DE FATIMA E SILVA FLORES;Estadual;-;-;-;-;-;-;-;-;6,2;5,9;-;-;-;-;-;-;-;-
GO;5208806;Goianira;52107078;COLEGIO ESTADUAL PROFESSORA MARIA LUIZA DOS SANTOS SILVA;Estadual;-;-;-;-;-;-;-;-;-;5,3;-;-;-;-;-;-;-;-
GO;5208806;Goianira;52107485;COLEGIO ESTADUAL WALTER BERNADINO BORGES;Estadual;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-
GO;5208905;Goiás;52002594;CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSOR ALCIDES JUBE;Estadual;-;-;-;-;-;-;5,5;-;4,8;4,2;-;-;-;-;-;-;5,7;5,9
GO;5208905;Goiás;52002608;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS UNIDADE JOAO AUGUSTO PERILLO;Estadual;3,4;3,3;3,6;3,6;4,7;5,9;6,4;6,2;5,4;6,8;3,4;3,6;3,8;4,2;4,6;4,9;5,1;5,4
GO;5208905;Goiás;52002691;COLEGIO ESTADUAL DE APLICACAO PROFESSOR MANUEL CAIADO;Estadual;-;4,1;3,6;4,8;4,9;3,7;-;-;-;-;-;4,2;4,4;4,8;5,1;5,3;5,6;5,8
GO;5208905;Goiás;52003051;LYCEU DE GOYAZ PROFESSOR ALCIDE JUBE;Estadual;3,5;3,8;4,2;4,8;4,5;4,2;5,1;4,8;4,2;4,6;3,6;3,7;4;4,4;4,8;5;5,3;5,5
GO;5208905;Goiás;52003361;CENTRO DE ENSINO EM PERIODO INTEGRAL DR ALBION DE CASTRO CURADO;Estadual;-;2,7;-;-;-;-;5,3;4,7;-;-;-;2,8;3;3,3;3,7;3,9;4,2;4,5
GO;5208905;Goiás;52003396;COLEGIO ESTADUAL WALTER ENGEL;Estadual;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;6,2;6,4
GO;5208905;Goiás;52072975;ESCOLA MUNICIPAL HOLANDA;Municipal;-;-;-;-;-;3,9;4,6;-;4,8;-;-;-;-;-;-;4,2;4,4;4,7
GO;5209101;Goiatuba;52058077;COLEGIO MUNICIPAL SAO CARLOS;Municipal;-;4,5;-;4,4;-;-;4,1;4,6;-;4,8;-;4,6;4,8;5,1;5,5;5,7;5,9;6,1
GO;5209101;Goiatuba;52058832;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS UNIDADE ELISIO JOAQUIM DE VASCONCELOS;Estadual;3,2;3,7;2,9;4,1;4;4,4;5,5;6,3;6,2;6,8;3,2;3,4;3,7;4,1;4,5;4,7;5;5,2
GO;5209101;Goiatuba;52058840;CENTRO DE ENSINO EM PERIODO INTEGRAL OSEAS BORGES GUIMARAES;Estadual;3,2;3,1;3,1;3,9;4,9;4,9;4,9;-;5,9;6;3,2;3,4;3,6;4;4,4;4,7;5;5,2
GO;5209101;Goiatuba;52058867;COLEGIO ESTADUAL ORCALINO FERNANDES EVANGELISTA;Estadual;2;3,4;3,2;-;-;4,8;4,8;-;4,5;5,4;2,1;2,4;2,9;3,4;3,9;4,1;4,4;4,7
GO;5209101;Goiatuba;52058913;COLEGIO ESTADUAL MANOEL VICENTE ROSA;Estadual;-;-;-;-;-;-;-;5,1;5,6;5,4;-;-;-;-;-;-;-;5,4
GO;5209101;Goiatuba;52058999;ESCOLA MUNICIPAL PROFESSORA ANA PERCILIANA DO PRADO VARGAS;Municipal;3,9;4,6;3,5;4,5;4,5;-;-;-;-;-;3,9;4;4,3;4,7;5,1;5,3;5,6;5,8
GO;5209101;Goiatuba;52059090;ESCOLA MUNICIPAL MARIA DE LOURDES MARTINS COSTA;Municipal;-;-;-;3,6;3,8;-;-;-;-;-;-;-;-;3,8;4,1;4,4;4,6;4,9
GO;5209101;Goiatuba;52059138;ESCOLA MUNICIPAL PROFESSORA NOEMIA DE CASTILHO;Municipal;-;3,7;4,4;4,2;4,7;-;-;-;-;-;-;3,7;4;4,3;4,6;4,9;5,1;5,4
GO;5209101;Goiatuba;52073211;ESCOLA MUNICIPAL GERALDO DE ASSIS LOPES;Municipal;-;4,9;-;-;4,5;-;-;-;-;-;-;5;5,2;5,5;5,8;6,1;6,3;6,5
GO;5209101;Goiatuba;52093530;ESCOLA MUNICIPAL VANISE DE OLIVEIRA SALATIEL;Municipal;4,1;4,7;4,8;5,3;5,1;-;-;-;-;-;4,1;4,3;4,6;4,9;5,3;5,6;5,8;6
GO;5209101;Goiatuba;52101169;ESCOLA ESTADUAL MARIA DE LOURDES ESTIVALET TEIXEIRA;Estadual;-;-;-;-;-;-;5,1;4,9;5;5,3;-;-;-;-;-;-;5,4;5,6
GO;5209150;Gouvelândia;52067289;COLEGIO ESTADUAL JOSE RODRIGUES MORENO;Estadual;3,5;3,6;3,4;3,6;-;-;4,6;5,2;4,9;4,7;3,5;3,7;4;4,4;4,7;5;5,3;5,5
GO;5209150;Gouvelândia;52067297;COLEGIO ESTADUAL DR RUBENS CARNEIRO DOS SANTOS;Estadual;-;-;-;-;4,7;5,3;-;-;-;-;-;-;-;-;4,9;5,1;5,4;5,6
GO;5209150;Gouvelândia;52067300;ESCOLA MUNICIPAL MILITARIZADA ANTONIO FRANCO BARBOSA;Municipal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GO;5209200;Guapó;52038483;CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSORA LIODOSIA SERRA RAMOS;Estadual;2,5;2,8;3,4;3,8;4,3;4,4;-;-;4,9;5;2,6;2,7;3,1;3,5;3,9;4,2;4,5;4,7
GO;5209200;Guapó;52038521;COLEGIO ESTADUAL DE POSSELANDIA;Estadual;2,9;3,4;3,5;3,8;4,8;5;5,3;5,4;5,2;4,8;2,9;3,1;3,3;3,7;4,1;4,4;4,6;4,9
GO;5209200;Guapó;52038530;COLEGIO ESTADUAL DEPUTADO JOSE DE ASSIS;Estadual;4,2;4;4,5;4,5;5,5;5,2;5,6;5,5;5,2;5,1;4,2;4,4;4,6;5;5,4;5,6;5,9;6,1
GO;5209200;Guapó;52038556;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS DOUTOR JOSE FELICIANO FERREIRA;Estadual;3,3;2,7;3,9;4;4,7;4,6;5,3;5,2;5,9;6,2;3,3;3,4;3,7;4,1;4,5;4,7;5;5,3
GO;5209200;Guapó;52038572;CENTRO DE ENSINO EM PERIODO INTEGRAL VALDIVINO SERAFIM;Estadual;-;-;-;-;-;-;-;-;-;4,7;-;-;-;-;-;-;-;-
GO;5209291;Guaraíta;52016790;COLEGIO ESTADUAL GEORGINA RODRIGUES COELHO;Estadual;3,1;3,6;4,4;4,1;-;5,8;5,9;5,4;4,2;-;3,1;3,3;3,5;3,9;4,3;4,6;4,8;5,1
GO;5209408;Guarani de Goiás;52041239;COLEGIO ESTADUAL CASTELO BRANCO;Estadual;3,1;3,5;3,7;4,1;4,5;4,6;4,8;5;4,9;-;3,2;3,3;3,6;4;4,4;4,6;4,9;5,2
GO;5209408;Guarani de Goiás;52041247;COLEGIO ESTADUAL VICENTE JOSE VALENTE;Estadual;3,4;-;-;-;-;-;-;-;-;-;3,5;3,6;3,9;4,3;4,7;4,9;5,2;5,4
GO;5209408;Guarani de Goiás;52041255;COLEGIO ESTADUAL ELIAS PEREIRA DE SOUZA;Estadual;-;-;-;-;-;-;5,6;4,6;5,2;-;-;-;-;-;-;-;5,8;6
GO;5209408;Guarani de Goiás;52082610;ESC MUL EMERSON TAVARES LOPES;Municipal;-;-;-;-;3,7;4,4;3,7;3,3;4,2;3,7;-;-;-;-;4;4,2;4,5;4,8
GO;5209457;Guarinos;52016897;ESCOLA ESTADUAL DE MANDINOPOLIS;Estadual;-;-;-;-;-;-;4,5;-;-;-;-;-;-;-;-;-;4,8;5
GO;5209457;Guarinos;52016900;COLEGIO ESTADUAL MANOEL OLIVEIRA PENA;Estadual;2,9;4,1;4,2;3,9;5,6;5,8;6,4;4,9;5;6,7;3;3,1;3,4;3,8;4,1;4,4;4,7;4,9
GO;5209606;Heitoraí;52022560;COLEGIO ESTADUAL DOM ABEL;Estadual;3,7;3,7;3,4;3,3;5,4;4,8;5,4;5;5,1;4,9;3,7;3,8;4,1;4,5;4,9;5,1;5,4;5,6
GO;5209705;Hidrolândia;52038734;COLEGIO ESTADUAL ADEMAR ALVES DE SOUZA;Estadual;-;2,1;-;4,3;4,4;-;5,2;4,5;5;5,4;-;2,5;2,9;3,5;4;4,2;4,5;4,7
GO;5209705;Hidrolândia;52038742;COLEGIO ESTADUAL DEPUTADO MANOEL MENDONCA;Estadual;2,9;3,6;3,5;3;4,1;4;4,5;4;-;3,9;2,9;3,1;3,4;3,8;4,2;4,4;4,7;5
GO;5209705;Hidrolândia;52038793;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS AUGUSTA MACHADO;Estadual;2,6;2,5;2,5;3,4;3,8;3,5;-;4,7;5,5;5,6;2,6;2,7;3;3,4;3,8;4;4,3;4,6
GO;5209705;Hidrolândia;52038823;ESCOLA MUNICIPAL ALIANCA;Municipal;-;3,6;-;2,8;3,3;4,2;3,8;-;-;3;-;3,7;3,9;4,2;4,6;4,8;5,1;5,3
GO;5209705;Hidrolândia;52096068;COLEGIO ESTADUAL GERALDO BATISTA OLIVEIRA;Estadual;-;-;-;-;-;-;-;-;-;5,9;-;-;-;-;-;-;-;-
GO;5209804;Hidrolina;52017109;CENTRO DE ENSINO EM PERIODO INTEGRAL ALFREDO NASSER;Estadual;3,7;4,1;4,4;3,8;5,3;4,9;5,1;5,3;6;5,7;3,7;3,9;4,1;4,5;4,9;5,2;5,4;5,7
GO;5209903;Iaciara;52041450;COLEGIO ESTADUAL JOAQUIM VIEIRA DE BRITO;Estadual;2,6;3,2;3,2;3,8;4,3;4,7;5;5,5;4,8;5;2,6;2,7;3;3,4;3,8;4;4,3;4,6
GO;5209903;Iaciara;52041476;CENTRO DE ENSINO EM PERIODO INTEGRAL ARY RIBEIRO VALADAO FILHO;Estadual;3,1;3;-;-;4;-;5;4,5;4,5;5,4;3,2;3,3;3,6;4;4,4;4,6;4,9;5,2
GO;5209903;Iaciara;52041484;ESCOLA ESTADUAL JUVENTINO DE FRANCA SABATH;Estadual;-;3,1;-;4,4;4,7;5,1;4,9;4,8;5,3;5,4;-;3,2;3,4;3,7;4;4,3;4,6;4,8
GO;5209903;Iaciara;52041506;CENTRO DE ENSINO EM PERIODO INTEGRAL RAIMUNDO ROCHA RIBEIRO;Estadual;3;3,3;3,2;4,4;4,8;5,6;5,2;5,3;-;-;3,1;3,2;3,5;3,9;4,3;4,5;4,8;5,1
GO;5209903;Iaciara;52041573;ESC MUL JOAQUIM VIEIRA DE MELO;Municipal;-;-;-;3,2;3,7;-;5,2;4,9;-;-;-;-;-;3,4;3,7;4;4,2;4,5
GO;5209937;Inaciolândia;52059243;COLEGIO ESTADUAL PERILO RODRIGUES DE MOURA;Estadual;-;2,7;3,5;4,6;4,9;3,7;-;5,3;5,5;4,9;-;2,8;3,1;3,4;3,7;4;4,3;4,5
GO;5209937;Inaciolândia;52059251;ESCOLA MUNICIPAL MILITARIZADA AGMAR FERNANDES BALIEIRO;Municipal;3,8;3,5;3,9;4,2;4,9;5,3;5,6;5,7;5,7;5,7;3,8;4;4,2;4,6;5;5,3;5,5;5,8
GO;5209952;Indiara;52056465;COLEGIO ESTADUAL VALERIANO ALVES DE OLIVEIRA;Estadual;3,3;3,2;4,2;4,1;4,8;-;-;5,7;-;5,8;3,3;3,5;3,7;4,1;4,5;4,8;5;5,3
GO;5209952;Indiara;52056503;CENTRO DE ENSINO EM PERIODO INTEGRAL VALERIANO DE BARROS;Estadual;3,6;3,8;4,3;3,4;4,7;4,5;5,1;5;5;5,6;3,6;3,8;4,1;4,5;4,8;5,1;5,4;5,6
GO;5209952;Indiara;52056520;ESCOLA MUNICIPAL MILITARIZADA ELIZABETH BARDHOT DUARTE DE ALMEIDA;Municipal;-;-;4,1;4,7;4,7;4,8;4,5;-;5;4,9;-;-;4,3;4,6;4,9;5,1;5,4;5,7
GO;5209952;Indiara;52056600;ESCOLA MUNICIPAL SAO SEBASTIAO;Municipal;-;4;-;-;-;-;-;-;-;-;-;4,1;4,3;4,6;5;5,2;5,5;5,7
GO;5210000;Inhumas;52022706;CENTRO DE ENSINO EM PERIODO INTEGRAL ARY RIBEIRO VALADAO FILHO;Estadual;4,6;-;-;-;-;-;-;-;-;-;4,6;4,8;5;5,4;5,8;6;6,2;6,4
GO;5210000;Inhumas;52022714;CENTRO DE ENSINO EM PERIODO INTEGRAL HORACIO ANTONIO DE PAULA;Estadual;-;3,9;3,8;4,6;5,2;5,1;5,1;5,7;5,1;5;-;4;4,2;4,5;4,9;5,1;5,4;5,6
GO;5210000;Inhumas;52022722;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS MANOEL VILAVERDE;Estadual;-;-;-;-;-;-;-;5,9;5,6;6,1;-;-;-;-;-;-;-;6,1
GO;5210000;Inhumas;52022730;COLEGIO ESTADUAL RUI BARBOSA;Estadual;4,5;4,5;4,9;5;5,4;5,5;5,8;5,6;5,2;5,7;4,5;4,7;4,9;5,3;5,7;5,9;6,1;6,4
GO;5210000;Inhumas;52022838;ESCOLA ESTADUAL ANTONIO AUGUSTO DO CARMO;Estadual;-;3,9;4,1;4,7;5;5,1;5,9;5,5;5,6;5,8;-;4;4,2;4,5;4,9;5,1;5,4;5,6
GO;5210000;Inhumas;52022889;COLEGIO ESTADUAL JOAQUIM PEDRO VAZ;Estadual;4,4;3,7;3,7;5,2;5;5,6;5,1;5,4;5,5;6,3;4,4;4,6;4,9;5,2;5,6;5,8;6,1;6,3
GO;5210000;Inhumas;52022900;COLEGIO ESTADUAL PRESIDENTE CASTELO BRANCO;Estadual;-;3,8;4,3;4,5;5,3;5,1;5,6;5,8;5,7;5,9;-;3,8;4,1;4,4;4,7;5;5,2;5,5
GO;5210000;Inhumas;52022951;ESCOLA ESTADUAL SIZELIZIO SIMOES DE LIMA;Estadual;3,9;3,6;-;-;-;-;-;-;-;-;3,9;4;4,3;4,7;5,1;5,3;5,6;5,8
GO;5210000;Inhumas;52022986;UNIDADE ESCOLAR PUBLICA MUNICIPAL PADRE FELICIANO;Municipal;-;-;-;4,5;-;-;-;-;-;-;-;-;-;4,7;5;5,2;5,5;5,7
GO;5210000;Inhumas;52023257;UNIDADE ESCOLAR PUBLICA MUNICIPAL ALESSANDRO MIGUEL;Municipal;-;3,9;3,3;4,7;4,7;4,7;4,9;5,5;4,8;5,3;-;3,9;4,2;4,5;4,8;5,1;5,3;5,6
GO;5210000;Inhumas;52074951;ESCOLA MUNICIPAL AGROPECUARIA DE INHUMAS SENADOR JOAO ABRAHAO SOBRINHO;Municipal;-;-;-;-;-;-;3,8;-;-;-;-;-;-;-;-;-;4;4,3
GO;5210109;Ipameri;52065952;COLEGIO ESTADUAL PROFESSOR EDUARDO MANCINI;Estadual;2,7;3;3,4;4,3;4,6;4,4;5,2;4,7;4,2;4,8;2,8;2,9;3,2;3,6;4;4,3;4,5;4,8
GO;5210109;Ipameri;52065995;ESCOLA MUNICIPAL GODOFREDO PERFEITO;Municipal;4,4;4,5;4,8;5,3;6;5,8;6,3;6,5;6,1;6,3;4,5;4,6;4,9;5,3;5,6;5,9;6,1;6,3
GO;5210109;Ipameri;52066010;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS JOSE PIO DE SANTANA;Estadual;3,3;2,8;4;4,5;4,3;4,2;5,2;5,6;5,2;5,4;3,3;3,5;3,7;4,1;4,5;4,8;5;5,3
GO;5210109;Ipameri;52066061;COLEGIO ESTADUAL MONSENHOR DOMINGOS PINTO FIGUEIREDO;Estadual;2,9;2,5;3,3;3,8;3,8;3,4;5,4;-;-;-;2,9;3,1;3,3;3,7;4,1;4,4;4,6;4,9
GO;5210109;Ipameri;52066088;ESCOLA MUNICIPAL NOSSA SENHORA DE FATIMA;Municipal;-;-;4,7;-;3,1;-;4;3,9;4,8;-;-;-;4,8;5,1;5,4;5,6;5,9;6,1
GO;5210109;Ipameri;52072100;COLEGIO ESTADUAL RODOLFO BRAZ DE QUEIROZ;Estadual;2,9;2,9;2,9;3,6;3,4;4,6;4,4;4,8;4,6;4,8;3;3,1;3,4;3,8;4,2;4,4;4,7;5
GO;5210158;Ipiranga de Goiás;52015343;ESC MUL DAMIAO BARRETO DOS SANTOS;Municipal;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;5,2;5,4
GO;5210158;Ipiranga de Goiás;52015386;COLEGIO ESTADUAL SETE DE SETEMBRO;Estadual;4,4;4,4;4,2;4,6;5,4;5,4;5,8;4,7;5,8;6;4,4;4,5;4,8;5,2;5,6;5,8;6;6,2
GO;5210208;Iporá;52027074;COLEGIO ESTADUAL ELIAS DE ARAUJO ROCHA;Estadual;3,4;3,2;3;-;-;-;-;6,1;5,6;5,7;3,4;3,6;3,8;4,2;4,6;4,9;5,1;5,4
GO;5210208;Iporá;52027082;CENTRO DE ENSINO EM PERIODO INTEGRAL OSORIO RAIMUNDO DE LIMA;Estadual;2,9;3,1;2,6;2,9;5;-;6,5;6,4;-;-;2,9;3,1;3,3;3,7;4,1;4,4;4,7;4,9
GO;5210208;Iporá;52027104;CENTRO DE ENSINO EM PERIODO INTEGRAL DE APLICACAO;Estadual;4,1;4,1;3,8;4,1;5,3;4,6;-;-;5,6;6,1;4,2;4,3;4,6;5;5,3;5,6;5,8;6,1
GO;5210208;Iporá;52027139;CENTRO DE EDUCACAO DE JOVENS E ADULTOS DOM BOSCO;Estadual;-;-;-;-;-;-;3,1;-;-;-;-;-;-;-;-;-;3,3;3,6
GO;5210208;Iporá;52027147;ESCOLA ESTADUAL EDMO TEIXEIRA;Estadual;-;-;-;-;-;5,1;6;5,6;5,9;5,7;-;-;-;-;-;5,3;5,5;5,8
GO;5210208;Iporá;52027163;ESCOLA ESTADUAL ISRAEL AMORIM;Estadual;-;3,4;3,8;4,4;5,2;5,3;5,7;6;5,8;5,1;-;3,5;3,7;4;4,4;4,6;4,9;5,1
GO;5210208;Iporá;52027180;COLEGIO ESTADUAL ODILON JOSE DE OLIVEIRA;Estadual;3,8;3,9;3,9;3,8;5;5,3;5,5;5,2;-;-;3,8;4;4,2;4,6;5;5,3;5,5;5,8
GO;5210208;Iporá;52027201;ESCOLA EVANGELICA BETEL;Estadual;4,4;4,6;4,8;5;-;-;-;-;-;-;4,5;4,6;4,9;5,3;5,6;5,9;6,1;6,3
GO;5210208;Iporá;52027309;ESCOLA MUNICIPAL JORCELINO ALVES BARBOSA;Municipal;-;-;-;-;4,3;-;5,5;-;-;-;-;-;-;-;4,5;4,8;5;5,3
GO;5210208;Iporá;52027422;ESC MUL VALDIVINO SILVA FERREIRA;Municipal;-;2,8;3,3;4,1;-;-;5,8;-;-;-;-;2,8;3,1;3,4;3,7;4;4,2;4,5
GO;5210208;Iporá;52027449;ESCOLA MUNICIPAL VEREADOR ANTONIO LAURINDO;Municipal;-;2,8;-;-;-;-;-;-;-;-;-;2,9;3,1;3,4;3,7;4;4,3;4,5
GO;5210208;Iporá;52072088;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS ARISTON GOMES DA SILVA IPORA;Estadual;3,8;4,4;3,6;4,1;4,9;5,2;-;6,5;6,4;6,3;3,8;4;4,3;4,7;5;5,3;5,5;5,8
GO;5210307;Israelândia;52027570;COLEGIO ESTADUAL MARIA BARRETO;Estadual;3,1;3,7;3,7;3,8;4,2;4,5;4,7;4,3;5,3;5,2;3,1;3,2;3,5;3,9;4,3;4,6;4,8;5,1
GO;5210406;Itaberaí;52023443;COLEGIO DA POLICIA MILITAR DE GOIAS BENEDITO PINHEIRO DE ABREU;Estadual;3,8;3,2;3,5;4,5;5;5,1;6,4;6,4;6,6;6,7;3,8;4;4,3;4,7;5;5,3;5,5;5,8
GO;5210406;Itaberaí;52023478;ESCOLA MUNICIPAL GENOVEVA CABRAL;Municipal;3,6;4,3;4,6;4,8;4,9;5,1;4,2;4,7;-;4,8;3,6;3,7;4;4,4;4,8;5;5,3;5,6
GO;5210406;Itaberaí;52023516;CENTRO DE ENSINO EM PERIODO INTEGRAL MARIA OLINTA DE ALMEIDA;Estadual;-;-;4,3;-;-;-;-;5,8;5,2;5,3;-;-;4,5;4,8;5,1;5,3;5,6;5,8
GO;5210406;Itaberaí;52023524;ESCOLA MUNICIPALIZADA MODESTINA FONSECA;Municipal;-;-;-;-;4,9;4,7;5,3;-;-;-;-;-;-;-;5,1;5,3;5,6;5,8
GO;5210406;Itaberaí;52023532;COLEGIO ESTADUAL ROCHA LIMA;Estadual;4,2;3,4;4,1;4,8;5,7;5,5;5,5;5;5,6;5,3;4,2;4,4;4,6;5;5,4;5,6;5,9;6,1
GO;5210406;Itaberaí;52023540;ESCOLA MUNICIPALIZADA SAO BENEDITO;Municipal;-;-;-;-;-;-;5,9;-;5;4,6;-;-;-;-;-;-;6,1;6,3
GO;5210406;Itaberaí;52023575;ESCOLA ESTADUAL SANTA RITA;Estadual;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GO;5210406;Itaberaí;52023931;ESCOLA MUNICIPAL PADRE ELIGIO SILVESTRI;Municipal;-;-;-;4,7;4,4;4,9;4,9;4,9;5,1;4,8;-;-;-;4,9;5,2;5,4;5,7;5,9
GO;5210406;Itaberaí;52069060;COLEGIO ESTADUAL PRE VESTIBULAR DE ITABERAI;Estadual;4,4;4,3;4,5;4,5;-;-;-;-;-;-;4,4;4,6;4,8;5,2;5,6;5,8;6;6,3
GO;5210562;Itaguari;52024148;CENTRO DE ENSINO EM PERIODO INTEGRAL JOSE EDUARDO DO COUTO;Estadual;3,5;4,1;4,3;4,8;5,2;5,4;5,4;5,8;5,4;5,4;3,5;3,6;3,9;4,3;4,7;4,9;5,2;5,5
GO;5210604;Itaguaru;52024180;CENTRO DE ENSINO EM PERIODO INTEGRAL ARY RIBEIRO VALADAO FILHO;Estadual;3,6;4,1;4,4;5;5,2;4,8;6;6,3;5,9;6,5;3,6;3,8;4,1;4,5;4,8;5,1;5,4;5,6
GO;5210802;Itajá;52067351;COLEGIO ESTADUAL PRESIDENTE CASTELO BRANCO;Estadual;2,3;3,8;3,5;4,5;4,8;4,6;5;4,6;4,6;5,2;2,4;2,6;3;3,5;4;4,2;4,5;4,8
GO;5210802;Itajá;52067408;ESCOLA MUNICIPAL BELA VISTA;Municipal;-;-;3,1;-;-;-;-;-;-;4,4;-;-;3,2;3,5;3,8;4,1;4,3;4,6
